Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Linkedin
Canny AI,https://finder.startupnationcentral.org/company_page/canny-ai,Video Dialogue Replacement Service,Content & Media,2017,01-Oct,Pre-Funding,28976156
Save A Train,https://finder.startupnationcentral.org/company_page/save-a-train,Rail Travel Software,Smart Mobility,2016,01-Oct,Seed,18136594
StoreNext,https://finder.startupnationcentral.org/company_page/storenext,Retail Data Analytics,"Enterprise, IT & Data Infrastructure",2001,51-200,Mature,95863
CheckMate,https://finder.startupnationcentral.org/company_page/checkmate,,FinTech,2022,,Seed,
Teramount,https://finder.startupnationcentral.org/company_page/teramount,Scalable Optical Connectivity for the Semiconductor Industry,Industrial Technologies,2013,Nov-50,A,3235135
Aquarius Spectrum,https://finder.startupnationcentral.org/company_page/aquarius-spectrum,Leak-detection and Monitoring Solutions for Water Utilities,AgriFood-tech & Water,2009,Nov-50,A,10012107
Kaiima Bio-Agritech,https://finder.startupnationcentral.org/company_page/kaiima-bio-agritech,Genomic Multiplication to Boost Crop Productivity,AgriFood-tech & Water,2006,51-200,Mature,5093963
Innovid,https://finder.startupnationcentral.org/company_page/innovid,Comprehensive Video Advertising Platform,Retail & Marketing,2007,201-500,Public,733622
SaverOne,https://finder.startupnationcentral.org/company_page/saver1,In-vehicle Smartphone Distraction Prevention,Smart Mobility,2014,Nov-50,Public,5379022
Octoplay Games,https://finder.startupnationcentral.org/company_page/Octoplay-Games,,Content & Media,2021,01-Oct,Seed,
EZMEMS,https://finder.startupnationcentral.org/company_page/ezmems,Multi-sensing and Connectivity for Edge Sensing and Analytics,Industrial Technologies,2014,01-Oct,Seed,
Convizit,https://finder.startupnationcentral.org/company_page/convizit,AI-driven Behavioral Data Capture Platform,"Enterprise, IT & Data Infrastructure",2017,Nov-50,Seed,29215120
Ginzi.io,https://finder.startupnationcentral.org/company_page/ginzi-io,AI-powered Customer Support,"Enterprise, IT & Data Infrastructure",2021,01-Oct,Pre-Seed,34578261
Bionic,https://finder.startupnationcentral.org/company_page/bionic,Application Security Posture Management Platform,Security Technologies,2019,51-200,B,69611066
Matricelf,https://finder.startupnationcentral.org/company_page/matricelf,Personalized Platform for Autologous Regenerative Medicine,Life Sciences & HealthTech,2019,Nov-50,Public,34957760
DoControl,https://finder.startupnationcentral.org/company_page/docontrol,No-code SaaS Security Platform,Security Technologies,2020,51-200,B,67174083
Fooducate,https://finder.startupnationcentral.org/company_page/fooducate,Nutritional Information App for Grocery Shopping,Life Sciences & HealthTech,2009,01-Oct,Seed,1138138
SoniVie,https://finder.startupnationcentral.org/company_page/sonivie,Pulmonary Hypertension Denervation Treatment,Life Sciences & HealthTech,2014,01-Oct,C,
Agam Greenhouse Energy Systems,https://finder.startupnationcentral.org/company_page/agam-greenhouse-energy-systems-1,"Dehumidification, Heating, and Cooling Systems",AgriFood-tech & Water,2009,01-Oct,B,13000917
Upright Technologies,https://finder.startupnationcentral.org/company_page/upright-pose,Personal Posture Trainer,Life Sciences & HealthTech,2014,51-200,Mature,5202409
DNR Bio-Imaging Systems,https://finder.startupnationcentral.org/company_page/dnr-bio-imaging-systems,Gel Documentation Systems,Life Sciences & HealthTech,1996,Nov-50,Pre-Funding,
Taliaz,https://finder.startupnationcentral.org/company_page/taliaz-diagnostics,Predictive Technology for Personalized Medication,Life Sciences & HealthTech,2012,Nov-50,Seed,about
Saillog,https://finder.startupnationcentral.org/company_page/saillog,Artificial Intelligence for Pest Management and Disease Identification,AgriFood-tech & Water,2017,01-Oct,Pre-Funding,18187682
Evogene,https://finder.startupnationcentral.org/company_page/evogene,Computational Predictive Biology Platform,Life Sciences & HealthTech,2002,51-200,Public,100603
KMS Lighthouse,https://finder.startupnationcentral.org/company_page/kms-lighthouse,Knowledge Management Platform,"Enterprise, IT & Data Infrastructure",1996,51-200,Mature,2982156
Simplex Mapping Solutions,https://finder.startupnationcentral.org/company_page/simplex-mapping-solutions,3D Mapping Technology,Aerospace & Aviation,2013,Nov-50,A,4982244
Virility Medical,https://finder.startupnationcentral.org/company_page/virility-medical,Skin Patch for the Treatment of Premature Ejaculation,Life Sciences & HealthTech,2016,01-Oct,A,76514990
Ilyon Dynamics,https://finder.startupnationcentral.org/company_page/ilyon-dynamics,Mobile Game Developer and Publisher,Content & Media,2013,51-200,Mature,10603479
Nano Water Purification Technology,https://finder.startupnationcentral.org/company_page/nano-water-purification-technology,Desalination Technology Based on Active Nano-Particles,AgriFood-tech & Water,2021,01-Oct,Pre-Funding,
illustria,https://finder.startupnationcentral.org/company_page/illustria,Cybersecurity Solution,Security Technologies,2021,01-Oct,Pre-Seed,
Seraphic Security,https://finder.startupnationcentral.org/company_page/seraphic-security,Enterprise-grade Browser Security,Security Technologies,2019,Nov-50,Seed,76100026
FINTICA AI,https://finder.startupnationcentral.org/company_page/fintica-ai,Artificial intelligence for the Financial Industry,"Enterprise, IT & Data Infrastructure",2019,Nov-50,Seed,35495491
OCON Therapeutics,https://finder.startupnationcentral.org/company_page/ocon-therapeutics,Spherical Intrauterine Drug Delivery Platform,Life Sciences & HealthTech,2011,Nov-50,A,2134224
Tonkean,https://finder.startupnationcentral.org/company_page/tonkean,No-code Process Orchestration Platform for Businesses,"Enterprise, IT & Data Infrastructure",2015,51-200,B,6430355
IONIX,https://finder.startupnationcentral.org/company_page/ionix,Attack Surface Management Solution,Security Technologies,2016,51-200,A,13786996
Rivery Technologies,https://finder.startupnationcentral.org/company_page/rivery,Data Pipeline and Integration Platform,"Enterprise, IT & Data Infrastructure",2016,51-200,B,10688010
vHive,https://finder.startupnationcentral.org/company_page/vhive,Autonomous Drone Deployment Technology,Aerospace & Aviation,2016,Nov-50,B,10108173
Kamanja,https://finder.startupnationcentral.org/company_page/kamanja,Compliance-as-a-Service Platform,Security Technologies,2022,01-Oct,Pre-Funding,78043478
Vert,https://finder.startupnationcentral.org/company_page/vert,Emissions Reduction Solution for Organizations and Suppliers,FinTech,2022,01-Oct,Pre-Seed,83496884
Ritual,https://finder.startupnationcentral.org/company_page/ritual,Skill-building App for Relationships,Life Sciences & HealthTech,2021,Nov-50,Pre-Seed,72688766
Liposphere,https://finder.startupnationcentral.org/company_page/liposphere,Biolubrication Solutions,Life Sciences & HealthTech,2019,01-Oct,Seed,28796604
RevealSecurity,https://finder.startupnationcentral.org/company_page/trackerdetect,Protection for Enterprise Applications Against Insider Threats,Security Technologies,2020,Nov-50,A,72435797
TaTiO,https://finder.startupnationcentral.org/company_page/tatio,Candidate Engagement Tool,"Enterprise, IT & Data Infrastructure",2019,Nov-50,Seed,
Roojoom,https://finder.startupnationcentral.org/company_page/roojoom, AI-based Personal Journey Orchestration,"Enterprise, IT & Data Infrastructure",2013,Nov-50,Seed,2742214
Ahava Dead Sea Laboratories,https://finder.startupnationcentral.org/company_page/ahava,Cosmetic Beauty Care Products from Dead Sea Minerals,Life Sciences & HealthTech,1988,51-200,Mature,513713
Qsee,https://finder.startupnationcentral.org/company_page/qsee,Automating Quality Predictive Analytics,Industrial Technologies,2018,Nov-50,Seed,18198800
Obligo Technologies,https://finder.startupnationcentral.org/company_page/obligo-technologies,Rental Billing Authorization Solution,FinTech,2016,Nov-50,B,18099542
Salto,https://finder.startupnationcentral.org/company_page/salto-labs,Business Application Management,"Enterprise, IT & Data Infrastructure",2019,51-200,B,18967753
infinipoint,https://finder.startupnationcentral.org/company_page/infinipoint-ltd,Device Identity as a Service for Workstations and Mobile Devices,Security Technologies,2019,Nov-50,A,34902045
Fibo,https://finder.startupnationcentral.org/company_page/fibo,Digital Platform for Tax Refunds,FinTech,2018,Nov-50,Seed,18612229
EntityMed,https://finder.startupnationcentral.org/company_page/entitymed,AI-based Personalized Aesthetic Procedures,Life Sciences & HealthTech,2021,01-Oct,Seed,14029448
Copilot,https://finder.startupnationcentral.org/company_page/copilot,Automated Customer Experience Platform,"Enterprise, IT & Data Infrastructure",2019,Nov-50,Seed,40839726
Cybord,https://finder.startupnationcentral.org/company_page/cybord,AI-based Visual Inspection for Electronic Component Analytics and Traceability,Industrial Technologies,2018,01-Oct,Seed,35476171
Firebolt Analytics,https://finder.startupnationcentral.org/company_page/firebolt,Cloud Data Warehouse as a Service,"Enterprise, IT & Data Infrastructure",2018,51-200,C,40719957
Cybellum,https://finder.startupnationcentral.org/company_page/cybellum,Cyber Security for Automotive Component Manufacturers and OEMs,Security Technologies,2016,Nov-50,Mature,10289161
april,https://finder.startupnationcentral.org/company_page/april,Embedded Tax Experiences,FinTech,2021,51-200,A,79937233
SOLRA PV,https://finder.startupnationcentral.org/company_page/solra-pv,Perovskite-based Solar Cells for Indoor Use in IoT Devices,Industrial Technologies,2021,01-Oct,Seed,76263446
ZenGo,https://finder.startupnationcentral.org/company_page/kzen-networks,Self-custodial Digital Currency Wallet,FinTech,2018,51-200,A,11805115
Titan Eco Wall,https://finder.startupnationcentral.org/company_page/titan-eco-dry-wall,Eco-friendly Wall Board for the Construction Industry,Industrial Technologies,2017,01-Oct,Pre-Seed,
BioRaptor,https://finder.startupnationcentral.org/company_page/bioraptor,AI-powered Insight Platform,"Enterprise, IT & Data Infrastructure",2021,01-Oct,Seed,85612507
NanoClear Water Solutions,https://finder.startupnationcentral.org/company_page/nanoclear-water-solutions,Nanomaterials for More Efficient Water Treatment,AgriFood-tech & Water,2022,01-Oct,Pre-Funding,86851875
L-Pesa Micro Finance,https://finder.startupnationcentral.org/company_page/l-pesa-microfinance,Automated Microfinance Services,FinTech,2015,Nov-50,Pre-Funding,
Voyage81,https://finder.startupnationcentral.org/company_page/voyage81,Hyperspectral Imaging from Smartphone Cameras,Life Sciences & HealthTech,2018,Nov-50,Mature,33273841
Ultra Information Solutions,https://finder.startupnationcentral.org/company_page/ultra-information-solutions,Digital Identity Solution for Governments and Corporations,Security Technologies,2016,Nov-50,A,51627518
Any.do,https://finder.startupnationcentral.org/company_page/any-do,Mobile App for Task Management,"Enterprise, IT & Data Infrastructure",2011,500+,Mature,1332712
Snowmate,https://finder.startupnationcentral.org/company_page/snowmate,Eliminate Backend Regressions. Early.,"Enterprise, IT & Data Infrastructure",2022,Nov-50,Seed,
HT BioImaging,https://finder.startupnationcentral.org/company_page/ht-bioimaging,Imaging Method for Early Cancer Detection,Life Sciences & HealthTech,2015,Nov-50,Seed,10690472
Clariter,https://finder.startupnationcentral.org/company_page/clariter,Sustainable Petrochemicals Upcycled from Plastic Waste,Industrial Technologies,2003,201-500,Mature,409512
Aspecto,https://finder.startupnationcentral.org/company_page/aspecto,Cost-effective OpenTelemetry,"Enterprise, IT & Data Infrastructure",2019,Nov-50,Mature,20565107
Radiflow,https://finder.startupnationcentral.org/company_page/radiflow,Cybersecurity Solutions for Critical Infrastructure Networks,Security Technologies,2009,Nov-50,Mature,576564
Nanocarry Therapeutics,https://finder.startupnationcentral.org/company_page/nanocarry-therapeutics,Nanoparticle-based Therapeutics for Brain Cancer and CNS Disorders,Life Sciences & HealthTech,2021,01-Oct,Pre-Seed,76550130
Sepio,https://finder.startupnationcentral.org/company_page/sepio,Asset Risk Management,Security Technologies,2016,51-200,B,7938746
Blend,https://finder.startupnationcentral.org/company_page/blend,AI-powered Analytics for GTM Teams ,"Enterprise, IT & Data Infrastructure",2023,01-Oct,Pre-Funding,82124957
Admonis,https://finder.startupnationcentral.org/company_page/admonis,eCommerce Automation Platform,Retail & Marketing,2019,01-Oct,Seed,28956723
Discure Technologies,https://finder.startupnationcentral.org/company_page/discure-technologies,Reversing Degenerative Disc Disease,Life Sciences & HealthTech,2021,01-Oct,Seed,72074499
IntraPosition,https://finder.startupnationcentral.org/company_page/intraposition,Streamlining Operations in Health Care,Life Sciences & HealthTech,2015,01-Oct,Seed,
Pazu Games,https://finder.startupnationcentral.org/company_page/pazu-games,Mobile Games for Kids,Content & Media,2011,Nov-50,Pre-Funding,27032265
Cognishine Therapy and Education,https://finder.startupnationcentral.org/company_page/cognishine-therapy-and-education,Resource Platform for Therapy and Education,Content & Media,2019,01-Oct,Pre-Funding,43301375
Xternity Games,https://finder.startupnationcentral.org/company_page/xternity-games,Multi-chain Game Development Platform,Content & Media,2021,01-Oct,Pre-Seed,79418212
Nilos,https://finder.startupnationcentral.org/company_page/nilos,Custodial Wallet for Brands and Creators,FinTech,2021,01-Oct,Seed,74055871
OTORIO,https://finder.startupnationcentral.org/company_page/otorio,Industrial-native Cyber-security Solutions,Security Technologies,2017,51-200,Mature,19059899
Nanomedic Technologies,https://finder.startupnationcentral.org/company_page/nanomedic-technologies,Portable Wound Treatment System,Life Sciences & HealthTech,2018,Nov-50,A,19098236
PomVom,https://finder.startupnationcentral.org/company_page/pomvom,Real-time Photo Exchange App,Content & Media,2015,51-200,Public,18007379
Sixdof Space,https://finder.startupnationcentral.org/company_page/sixdof-space,Ultra-fast Optical Tracking,Industrial Technologies,2017,Nov-50,Seed,11200888
Reeco,https://finder.startupnationcentral.org/company_page/reeco,Purchasing Solution for the Hospitality Industry,Retail & Marketing,2021,Nov-50,Seed,72472085
ADVA Biotechnology,https://finder.startupnationcentral.org/company_page/adva-biotechnology,Automated Platform for Autologous Cell Manufacturing,Life Sciences & HealthTech,2016,Nov-50,Seed,30096447
